sample_,class,dilution,order,batch,id
20210608_051,post-surgery,1.0,679,18,20210608_051
20210608_053,cancer,1.0,680,18,20210608_053
20210608_055,cancer,1.0,681,18,20210608_055
20210608_057,benign,1.0,682,18,20210608_057
20210608_059,QC,1.0,683,18,20210608_059
20210608_061,healthy,1.0,684,18,20210608_061
20210608_063,post-surgery,1.0,685,18,20210608_063
20210608_065,cancer,1.0,686,18,20210608_065
20210608_067,healthy,1.0,687,18,20210608_067
20210608_069,SRM,1.0,688,18,20210608_069
20210608_071,QC,1.0,689,18,20210608_071
20210608_073,QC,1.0,690,18,20210608_073
20210608_075,process blank,1.0,691,18,20210608_075
20210608_077,solvent,1.0,692,18,20210608_077
20210610_003,solvent,1.0,694,19,20210610_003
20210610_005,process blank,1.0,695,19,20210610_005
20210610_019,QC,1.0,702,19,20210610_019
20210610_021,QC,1.0,703,19,20210610_021
20210610_023,QC,1.0,704,19,20210610_023
20210610_025,cancer,1.0,705,19,20210610_025
20210610_027,benign,1.0,706,19,20210610_027
20210610_029,cancer,1.0,707,19,20210610_029
20210610_031,healthy,1.0,708,19,20210610_031
20210610_033,healthy,1.0,709,19,20210610_033
20210610_035,QC,1.0,710,19,20210610_035
20210610_037,healthy,1.0,711,19,20210610_037
20210610_039,healthy,1.0,712,19,20210610_039
20210610_041,cancer,1.0,713,19,20210610_041
20210610_043,healthy,1.0,714,19,20210610_043
20210610_045,healthy,1.0,715,19,20210610_045
20210610_047,QC,1.0,716,19,20210610_047
20210610_049,benign,1.0,717,19,20210610_049
20210610_051,benign,1.0,718,19,20210610_051
20210610_053,healthy,1.0,719,19,20210610_053
20210610_055,post-surgery,1.0,720,19,20210610_055
20210610_057,cancer,1.0,721,19,20210610_057
20210610_059,QC,1.0,722,19,20210610_059
20210610_061,cancer,1.0,723,19,20210610_061
20210610_063,cancer,1.0,724,19,20210610_063
20210610_065,post-surgery,1.0,725,19,20210610_065
20210610_067,cancer,1.0,726,19,20210610_067
20210610_069,SRM,1.0,727,19,20210610_069
20210610_071,QC,1.0,728,19,20210610_071
20210610_073,QC,1.0,729,19,20210610_073
20210610_075,process blank,1.0,730,19,20210610_075
20210610_077,solvent,1.0,731,19,20210610_077
20210705_003,solvent,1.0,733,20,20210705_003
20210705_005,process blank,1.0,734,20,20210705_005
20210705_019,QC,1.0,741,20,20210705_019
20210705_021,QC,1.0,742,20,20210705_021
20210705_023,QC,1.0,743,20,20210705_023
20210705_025,cancer,1.0,744,20,20210705_025
20210705_027,healthy,1.0,745,20,20210705_027
20210705_029,cancer,1.0,746,20,20210705_029
20210705_031,healthy,1.0,747,20,20210705_031
20210705_033,healthy,1.0,748,20,20210705_033
20210705_035,QC,1.0,749,20,20210705_035
20210705_037,healthy,1.0,750,20,20210705_037
20210705_039,cancer,1.0,751,20,20210705_039
20210705_041,cancer,1.0,752,20,20210705_041
20210705_043,post-surgery,1.0,753,20,20210705_043
20210705_045,cancer,1.0,754,20,20210705_045
20210705_047,QC,1.0,755,20,20210705_047
20210705_049,healthy,1.0,756,20,20210705_049
20210705_051,benign,1.0,757,20,20210705_051
20210705_053,benign,1.0,758,20,20210705_053
20210705_055,healthy,1.0,759,20,20210705_055
20210705_057,cancer,1.0,760,20,20210705_057
20210705_059,QC,1.0,761,20,20210705_059
20210705_061,cancer,1.0,762,20,20210705_061
20210705_063,healthy,1.0,763,20,20210705_063
20210705_065,benign,1.0,764,20,20210705_065
20210705_067,post-surgery,1.0,765,20,20210705_067
20210705_069,SRM,1.0,766,20,20210705_069
20210705_071,QC,1.0,767,20,20210705_071
20210705_073,QC,1.0,768,20,20210705_073
20210705_075,process blank,1.0,769,20,20210705_075
20210705_077,solvent,1.0,770,20,20210705_077
20210706_003,solvent,1.0,772,21,20210706_003
20210706_005,process blank,1.0,773,21,20210706_005
20210706_019,QC,1.0,780,21,20210706_019
20210706_021,QC,1.0,781,21,20210706_021
20210706_023,QC,1.0,782,21,20210706_023
20210706_025,healthy,1.0,783,21,20210706_025
20210706_027,healthy,1.0,784,21,20210706_027
20210706_029,healthy,1.0,785,21,20210706_029
20210706_031,benign,1.0,786,21,20210706_031
20210706_033,cancer,1.0,787,21,20210706_033
20210706_035,QC,1.0,788,21,20210706_035
20210706_037,benign,1.0,789,21,20210706_037
20210706_039,healthy,1.0,790,21,20210706_039
20210706_041,cancer,1.0,791,21,20210706_041
20210706_043,cancer,1.0,792,21,20210706_043
20210706_045,healthy,1.0,793,21,20210706_045
20210706_047,QC,1.0,794,21,20210706_047
20210706_049,benign,1.0,795,21,20210706_049
20210706_051,healthy,1.0,796,21,20210706_051
20210706_053,cancer,1.0,797,21,20210706_053
20210706_055,healthy,1.0,798,21,20210706_055
20210706_057,cancer,1.0,799,21,20210706_057
20210706_059,QC,1.0,800,21,20210706_059
20210706_061,post-surgery,1.0,801,21,20210706_061
20210706_063,cancer,1.0,802,21,20210706_063
20210706_065,cancer,1.0,803,21,20210706_065
20210706_067,healthy,1.0,804,21,20210706_067
20210706_069,SRM,1.0,805,21,20210706_069
20210706_071,QC,1.0,806,21,20210706_071
20210706_073,QC,1.0,807,21,20210706_073
20210706_075,process blank,1.0,808,21,20210706_075
20210706_077,solvent,1.0,809,21,20210706_077
20210708_003,solvent,1.0,811,22,20210708_003
20210708_005,process blank,1.0,812,22,20210708_005
20210708_019,QC,1.0,819,22,20210708_019
20210708_021,QC,1.0,820,22,20210708_021
20210708_023,QC,1.0,821,22,20210708_023
20210708_025,cancer,1.0,822,22,20210708_025
20210708_027,healthy,1.0,823,22,20210708_027
20210708_029,benign,1.0,824,22,20210708_029
