feature,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-0071,,633.5674918752852,633.5764616274904,633.5568145663453,0.003321759909779981,33.15957940100076,37.98005615748461,33.75186287815779,32.12719007023,28.988081822045846,0.37535593668974243
FT-0072,,690.5283530998269,690.5368659244867,690.5205623867915,0.0029125021916746457,33.17794080270858,38.604827933018434,33.75675382712525,32.14599076959795,28.92015606166594,0.3869599763515296
FT-0074,,639.5570539900729,639.5698747444743,639.547746129154,0.003781834939460259,33.278042673600034,38.24069965737857,33.75932783889984,32.16892445345406,29.00112832445743,0.33063231032696405
FT-0076,,660.5547576017308,660.5645876580194,660.543670742719,0.0037934140502814424,33.38671856913983,38.943138718618755,33.75541576851126,32.17663601994778,28.97566646339333,0.28046296148845923
FT-0081,,667.5391350367406,667.5498818924542,667.5287385440528,0.003769769921142465,33.32512731812331,38.53545692989829,33.7514968709151,32.47263722516682,28.899618830014287,0.2865423777819845
FT-0082,,758.5108432252291,758.5226914710081,758.5001647621282,0.003959136797603609,33.423216628964944,38.314108311552175,33.75820826015908,32.4886955174982,29.037222570139903,0.20300395210595218
FT-0087,,760.5077160710117,760.5189005656787,760.497539257914,0.003651422240663622,33.45101937837093,38.447884780473444,33.754742927688646,32.69839206210821,29.00272933187656,0.210920279524611
FT-0090,,613.6142567047933,613.6219146903921,613.6061627768744,0.002912853801074639,33.47042156530354,38.34452794820195,33.74704373584667,32.78910148142143,29.069617739550246,0.18250222731872373
FT-0094,,606.6004181125819,606.6110328654008,606.5938634661908,0.0037785280785841,33.49044542264473,38.277634609323805,33.74101542054813,32.89831900190905,29.005872891077143,0.19235709546964067
FT-0108,,522.8437458226399,522.851902305575,522.8338599827738,0.0034113952550704893,34.06818835907841,38.21896027117333,34.36862579531142,33.759530442521104,29.80332757911098,0.17015073494123367
FT-0109,,714.7268601466506,714.7384822049373,714.7141296972368,0.004019852920168407,34.06077381926396,39.32147320916234,34.37370571806808,33.75953504468469,29.307627871316168,0.15475796325528804
FT-0110,FT-0101,596.6601385979442,596.6676959872906,596.6506571254578,0.0028638555735375393,34.03488342644554,40.15879711137688,34.374694392174206,33.75954019047678,29.123687408879064,0.1671569171407424
FT-0112,,200.97211519663495,200.9767419958372,200.96743105643156,0.0013902371663614727,34.05950456015636,37.86885379706058,34.37465597887049,33.75955717034496,30.021247981574128,0.15911988305298214
FT-0113,,480.69793583623834,480.7046264277603,480.6898432805001,0.002156257018962914,34.03674546591102,39.79752964834941,34.379636320613756,33.759582510240975,29.047872362783238,0.18269831832083594
FT-0114,,362.980764458056,362.98577369516573,362.975398733456,0.0016504150948486662,34.10873737914511,38.452170698195,34.37913619187401,33.759584991377935,29.66394963776986,0.13816863480190208
FT-0115,FT-0399,294.84165428397966,294.84681999607665,294.8380374074416,0.0013924274018793494,34.02633476518071,40.533742516302624,34.38067233441106,33.75962787830606,28.75355638531113,0.16648549770029974
FT-0116,,590.7371905485327,590.7489243962829,590.7249893943543,0.004872883575605519,34.0623618534509,39.087048681787806,34.37977312486206,33.75962968396232,29.22619541970634,0.15622610844134927
FT-0117,,654.7712060026555,654.7810225590885,654.7625658601008,0.0030307792845997526,34.07138364693134,39.558115847748915,34.375949982705855,33.759653508180854,29.198130518205435,0.1485752337583653
FT-0118,,304.870635465937,304.8754752938555,304.86538068596036,0.001764268112263298,34.040953264422726,39.080100311122315,34.38041720113171,33.75966054004068,29.372879584232564,0.1747465236341721
FT-0119,FT-0097,582.6381201239527,582.6446554384518,582.630361795967,0.0022501104011381666,34.080876597420655,42.498557233233164,34.38035907431715,33.75966101825331,28.991272093335613,0.17716468773917435
FT-0120,FT-0367,102.95622501717563,102.96006205126034,102.95279199692018,0.0009872065338748539,34.00997354598557,39.26563257609316,34.38061612207414,33.759662628880086,29.128460027170927,0.1582098914913162
FT-0121,,398.89194517865906,398.8978523021018,398.8852871970489,0.0019747823004932345,34.05146646557217,38.836248584211546,34.37709381834006,33.75967667487805,29.40759640345,0.14392678189427796
FT-0123,,604.6856973124908,604.6938809551365,604.6785298534695,0.002582267821231935,34.00626879417792,40.17451827592054,34.38066256055502,33.759723277940815,28.924319631358106,0.16988271429805285
FT-0124,,502.9423969575854,502.9503958238785,502.93453419882167,0.002465067112558512,34.04379122199239,38.154914748509576,34.37545438695663,33.75981863113091,29.579019303047605,0.1579247823086581
