,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-2376,,331.0473799365593,331.0534328331506,331.0413985065018,0.0017788982361092,253.2502091217246,267.4013691126705,256.0468367612581,251.2469614818115,246.85795810734348,0.8493099847328517
FT-2379,,503.0135406591186,503.0241727610045,503.0032934095384,0.0031661383158241,252.99000775070343,259.3923665892371,255.2949080558965,251.269168330368,247.9433338597057,0.8579854660671847
FT-2380,,390.0606268253064,390.0675905459755,390.0525319442859,0.0022768802314694,253.04171353509065,262.0342305862182,255.48094293468768,251.27733914399607,247.50323985861024,0.8032168708114243
FT-2381,,368.9939900832513,369.00238267329775,368.9853174554423,0.0023466501107458,252.91356625826648,259.554697163193,255.21224880950692,251.3322637744401,247.9561959577437,0.7788368712418235
FT-2383,,678.9703050777753,678.9835685905249,678.9588851618919,0.0045183438784902,253.11110135755223,260.3088919479038,255.12983748817416,251.3637561175473,247.79373917248247,0.8533339087841378
FT-2384,,218.11053844617737,218.11496110804927,218.10613156520225,0.0011952715082367,253.0150470809819,264.92421360252735,255.20815225193635,251.390992985614,247.1610918095774,0.7271351249456248
FT-2385,,435.2224062550198,435.2293786380537,435.2130061501602,0.0027134440976472,252.53686233681515,257.3194870948819,254.32777772444743,251.43712600338492,248.32597035168936,0.6540366409253725
FT-2386,,113.02375158996654,113.02714463648904,113.02072778075724,0.0008369025276442,253.46395137242527,275.3431313037857,255.8404568103296,251.4842847029657,246.47877597808167,0.739388932653091
FT-2387,,505.0088210961032,505.01743339271445,504.998897180046,0.0027677792077429,253.2055406316604,263.83706865812326,256.1987523842816,251.4975048545651,247.3565059059465,0.8321536426290399
FT-2388,,217.1071398008845,217.11116121304445,217.1020058155242,0.0014150283984813,253.43175319886328,278.8943985083995,255.86724144559236,251.51226233961884,246.52948685349327,0.7989359619350301
FT-2390,,311.1389687458568,311.1447308369484,311.13038871724456,0.0017737286971683,258.0331908102233,275.4395547905879,262.53604795854017,254.36066708861364,251.6153302208973,1.9219677642366717
FT-2391,,364.9993703686314,365.0050540172196,364.99411115056137,0.0021930339184356,252.85380524016716,258.4066153253811,254.8087875263772,251.5963065182587,248.3504642077787,0.737561059931445
FT-2392,,154.08659115888747,154.090179183205,154.0820982653827,0.0011507918949088,254.4102854480295,263.1076696875413,256.7695154904543,252.77789712991745,248.5045706150331,0.7361981588792298
FT-2395,,484.0926707408343,484.1002284280927,484.0841553442328,0.0026930923710306,257.78050138696415,264.7657619520635,261.5373447193089,254.1158238482365,252.89805933486605,2.0897681884237578
FT-2398,,425.0791365691822,425.0854454362986,425.07113803104176,0.0023021687291938,257.7890632862324,267.32351274490065,262.08732517653465,254.32059779186196,252.2830207443245,1.9341102479489407
FT-2400,,312.142256725846,312.1484732765185,312.1357130133334,0.001680447608001,257.7805377261346,268.9806969787729,261.7658644381222,254.5435857785097,251.98162317276143,1.9110049306088868
FT-2401,,246.9504892520857,246.9559504524153,246.94640312164836,0.0015525782315553,260.8796670057674,270.8092544192347,267.0311080340003,256.03076299776,254.97078509558327,1.927210925768559
FT-2403,,201.1124071871368,201.1162367540472,201.10867293804304,0.0012953822858935,266.94638992925366,271.70393744453264,268.4817442152593,264.50279476709113,262.3083975275948,0.7564933880190612
FT-2404,,165.05494791086028,165.0590356777994,165.05105425615005,0.0010194680400968,263.2607242632457,272.510692105977,266.00357510585496,261.13018547168446,257.18496627807804,0.8030887764458235
FT-2405,,121.06517580700894,121.06847993509244,121.0619902097924,0.0010412457325805,263.5785496833276,271.23121462135595,266.6316090756325,261.2408247243734,257.96429758874075,1.0784210824214615
FT-2407,,211.09652806522632,211.1004815350717,211.09205176162203,0.001197722505588,263.126319564739,271.0594814413838,266.03569173539216,261.36751651778013,258.0629878846717,0.8208186265715584
FT-2408,,256.0897797107551,256.0947282039231,256.0850187060511,0.0014455886889332,263.0536191937736,270.66029368999483,265.74945771143143,261.3859406902002,258.09851546620087,0.7462275432069754
FT-2409,,246.07356039713517,246.07843820593,246.0695419953308,0.0012809298202663,266.3434243338953,278.17426610044,268.5402060412813,262.6275248776052,257.6724313004875,1.201152455435286
FT-2410,,255.0862681005267,255.0915594848745,255.08084654953265,0.0014013399883429,263.38564063116365,276.215038265131,265.52888265958967,261.73530800746704,257.4247389493888,0.7456072235499206
FT-2411,,277.1545057548191,277.1593373253115,277.15107295463054,0.0016051505628203,266.2647449918376,271.5830290594782,267.6544418262856,264.6756540861357,261.23667916585583,0.6208568971041203
