,Charge,Chromatographic peak width (min),Highest Mean,Identifications,Isotope Distribution,Lowest Mean,Max Fold Change,Maximum Abundance,Minimum CV%,Neutral mass (Da),mz,rt
12.42_327.2522m/z,1,0.29895,zero,0,100 - 8.02,ltrs,inf,107.742980418903,193.3,,327.252195026351,745.450999999998
12.42_439.3409m/z,1,0.236783333333333,0,0,100 - 10.8,zero,inf,31.663821191759,13.12,,439.340944825781,745.450999999998
12.42_519.4031m/z,1,0.355183333333333,postcirugia,0,100 - 15.6 - 1.19,ltrs,inf,47.2599937208585,63.98,,519.403094740552,745.450999999998
12.42_555.0262m/z,1,0.28205,zero,0,100 - 12.4,2,inf,373.661718157873,29.95,,555.026167823913,745.450999999998
12.42_933.5319m/z,1,2.47576666666667,prostatitis,0,100 - 47.6 - 27.9 - 8.65 - 0.852,ltrs,inf,3010.05679804006,110.65,,933.531924726104,745.450999999998
12.44_253.2164m/z,1,1.52266666666667,sss,0,100 - 16.1,ltrs,9.70365941026355,4848.31242502891,5.22,,253.21642671799,746.464999999998
12.44_297.2425m/z,1,0.287516666666667,zero,0,100 - 7.25,ltrs,18.4526702604852,2079.27731984222,7.31,,297.242541768731,746.464999999998
12.44_789.3555m/z,1,0.315883333333332,zero,0,100 - 47 - 15.7,2,inf,1177.77901371897,51.2,,789.355515599477,746.464999999998
12.44_810.3878m/z,1,0.2537,calibration,0,100 - 43.7,2,inf,105.83610416103,44.94,,810.387824146015,746.464999999998
12.46_394.3030m/z,1,0.236783333333333,postcirugia,0,100 - 5.8,process blank,inf,2.68041803726479,131.81,,394.302995763969,747.48
12.46_515.3729m/z,1,0.20295,prostatitis,0,100 - 6.1,zero,inf,6.66527190354538,86.67,,515.372884618728,747.48
12.46_917.5383m/z,1,4.09445,prostatitis,0,100 - 50.9 - 18.3 - 6.71 - 1.11 - 0.478,2,inf,2487.27892532755,95.83,,917.538280519932,747.48
12.47_1017.4648m/z,1,2.45886666666667,prostatitis,0,100 - 61.7 - 22.7,ltrs,inf,354.663532564831,80.93,,1017.46478283139,748.495000000002
12.47_339.2301m/z,1,0.253699999999998,postcirugia,0,100 - 25 - 3.46,1,inf,195.429690467137,34.51,,339.23011633235,748.495000000002
12.47_457.3308m/z,3,0.338266666666666,sss,0,100 - 71.6,2,inf,119.446984405525,12.9,,457.330762713944,748.495000000002
12.47_458.3347m/z,1,0.152216666666668,zero,0,100,calibration,inf,2.74146795156909,264.58,,458.334723046335,748.495000000002
12.47_555.9825m/z,1,0.2706,sss,0,100 - 9.74,2,inf,714.941070232051,3.44,,555.982513560546,748.495000000002
